payment_id,merchant_id,customer_id,failure_id,attempt_id,recovered,amount_inr,payment_method,gateway,transaction_hour,day_of_week,is_weekend,failure_category,error_code,retryable,merchant_segment,industry,merchant_historical_tx_count,merchant_historical_failure_rate,merchant_historical_recovery_rate,gateway_historical_latency_ms,gateway_historical_success_rate,gateway_historical_error_rate,gateway_historical_incident_count,strategy,attempt_number,delay_minutes,predicted_recovery_probability,status,attempt_status,recovered_amount_inr,risk_amount_inr,resolved_at,merchant_historical_recovered_count,created_at,merchant_name
pay_104421,m_1004,cust_1000,fail_10000,att_10000,1,2823.02,Card,ICICI UPI,16,6,1,User Abandoned,BAD_REQUEST_ABANDONED,True,Growth,E-commerce & Retail,0,0.0,0.0,173.1,97.53,2.47,0,Email reminder,3,15,0.501,Success,Recovered,2823.02,0.0,2026-02-22 17:52:00,0.0,2026-02-22 16:00:00,CloudMart
pay_102261,m_1002,cust_1001,fail_10001,att_10001,0,9292.42,Card,Razorpay,17,6,1,User Abandoned,BAD_REQUEST_ABANDONED,True,Mid-Market,E-commerce & Retail,0,0.0,0.0,159.3,97.84,2.16,0,Email reminder,0,15,0.253,Failed,Pending,0.0,9292.42,,0.0,2026-02-22 17:00:00,SwiftPay Stores
pay_103206,m_1001,cust_1002,fail_10002,att_10002,0,1147.68,UPI,ICICI UPI,18,6,1,Bank Declined,BANK_DECLINED_TRANSACTION,False,Enterprise,E-commerce & Retail,0,0.0,0.0,173.1,97.53,2.47,0,Alternate payment method,0,15,0.396,Failed,Pending,0.0,1147.68,,0.0,2026-02-22 18:00:00,NovaCart
pay_100819,m_1001,cust_1003,fail_10003,att_10003,1,2677.31,UPI,SBI Card Gateway,18,6,1,Gateway Error,GATEWAY_INTERNAL_ERROR,True,Enterprise,E-commerce & Retail,1,100.0,0.0,211.58,94.83,5.17,1,Smart gateway retry,1,15,0.786,Success,Recovered,2677.31,0.0,2026-02-22 20:29:00,0.0,2026-02-22 18:00:00,NovaCart
pay_101335,m_1004,cust_1004,fail_10004,att_10004,1,6433.44,UPI,Razorpay,20,6,1,Gateway Error,GATEWAY_INTERNAL_ERROR,True,Growth,E-commerce & Retail,1,0.0,100.0,159.3,97.84,2.16,0,Smart gateway retry,0,15,0.625,Success,Recovered,6433.44,0.0,2026-02-23 08:54:00,1.0,2026-02-22 20:00:00,CloudMart
pay_103121,m_1004,cust_1005,fail_10005,att_10005,0,1520.64,Card,Razorpay,20,6,1,Insufficient Funds,INSUFFICIENT_FUNDS,True,Growth,E-commerce & Retail,2,0.0,100.0,159.3,97.84,2.16,0,UPI payment link,2,15,0.238,Failed,Failed,0.0,1520.64,,2.0,2026-02-22 20:00:00,CloudMart
pay_103648,m_1004,cust_1006,fail_10006,att_10006,1,459.63,UPI,Razorpay,20,6,1,Network Timeout,GATEWAY_TIMEOUT,True,Growth,E-commerce & Retail,3,33.33,66.67,159.3,97.84,2.16,0,Retry after 10 minutes,0,10,0.807,Success,Recovered,459.63,0.0,2026-02-23 18:07:00,2.0,2026-02-22 20:00:00,CloudMart
pay_103711,m_1001,cust_1007,fail_10007,att_10007,0,1468.71,Card,Razorpay,20,6,1,Insufficient Funds,INSUFFICIENT_FUNDS,True,Enterprise,E-commerce & Retail,2,50.0,50.0,159.3,97.84,2.16,0,UPI payment link,2,15,0.279,Failed,Failed,0.0,1468.71,,1.0,2026-02-22 20:00:00,NovaCart
pay_102217,m_1001,cust_1008,fail_10008,att_10008,1,692.47,UPI,ICICI UPI,21,6,1,Insufficient Funds,INSUFFICIENT_FUNDS,True,Enterprise,E-commerce & Retail,3,66.67,33.33,173.1,97.53,2.47,0,UPI payment link,0,15,0.455,Success,Recovered,692.47,0.0,2026-02-23 17:16:00,1.0,2026-02-22 21:00:00,NovaCart
pay_101168,m_1003,cust_1009,fail_10009,att_10009,0,2573.53,Card,Razorpay,22,6,1,Gateway Error,GATEWAY_INTERNAL_ERROR,True,SMB,E-commerce & Retail,0,0.0,0.0,159.3,97.84,2.16,0,Smart gateway retry,2,15,0.715,Failed,Failed,0.0,2573.53,,0.0,2026-02-22 22:00:00,UrbanNest
