event_id,gateway,timestamp,latency_ms,success_rate,error_rate,status,is_incident
evt_1,Axis Wallet,2026-08-21 18:00:00,141.5,98.44,1.56,OPERATIONAL,False
evt_2,Axis Wallet,2026-08-21 19:00:00,170.6,96.79,3.21,OPERATIONAL,False
evt_3,Axis Wallet,2026-08-21 20:00:00,156.5,98.52,1.48,OPERATIONAL,False
evt_4,Axis Wallet,2026-08-21 21:00:00,185.3,99.43,0.57,OPERATIONAL,False
evt_5,HDFC Gateway,2026-08-21 18:00:00,153.1,97.68,2.32,OPERATIONAL,False
evt_6,HDFC Gateway,2026-08-21 19:00:00,190.2,97.2,2.8,OPERATIONAL,False
evt_7,HDFC Gateway,2026-08-21 20:00:00,116.6,97.54,2.46,OPERATIONAL,False
evt_8,HDFC Gateway,2026-08-21 21:00:00,450.0,84.5,15.5,DEGRADED,True
evt_9,ICICI UPI,2026-08-21 18:00:00,191.2,97.39,2.61,OPERATIONAL,False
evt_10,ICICI UPI,2026-08-21 19:00:00,129.3,96.64,3.36,OPERATIONAL,False
evt_11,ICICI UPI,2026-08-21 20:00:00,168.5,97.86,2.14,OPERATIONAL,False
evt_12,ICICI UPI,2026-08-21 21:00:00,203.4,98.22,1.78,OPERATIONAL,False
evt_13,Razorpay,2026-08-21 18:00:00,177.2,98.54,1.46,OPERATIONAL,False
evt_14,Razorpay,2026-08-21 19:00:00,145.5,98.53,1.47,OPERATIONAL,False
evt_15,Razorpay,2026-08-21 20:00:00,135.1,97.27,2.73,OPERATIONAL,False
evt_16,Razorpay,2026-08-21 21:00:00,179.4,97.03,2.97,OPERATIONAL,False
evt_17,SBI Card Gateway,2026-08-21 18:00:00,157.7,96.32,3.68,OPERATIONAL,False
evt_18,SBI Card Gateway,2026-08-21 19:00:00,164.3,97.51,2.49,OPERATIONAL,False
evt_19,SBI Card Gateway,2026-08-21 20:00:00,380.0,88.0,12.0,DEGRADED,True
evt_20,SBI Card Gateway,2026-08-21 21:00:00,144.3,97.49,2.51,OPERATIONAL,False
