failure_id,payment_id,failure_category,error_code,retryable
fail_10000,pay_104421,User Abandoned,BAD_REQUEST_ABANDONED,True
fail_10001,pay_102261,User Abandoned,BAD_REQUEST_ABANDONED,True
fail_10002,pay_103206,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10003,pay_100819,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10004,pay_101335,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10005,pay_103121,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10006,pay_103648,Network Timeout,GATEWAY_TIMEOUT,True
fail_10007,pay_103711,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10008,pay_102217,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10009,pay_101168,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10010,pay_100400,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10011,pay_104881,User Abandoned,BAD_REQUEST_ABANDONED,True
fail_10012,pay_104502,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10013,pay_101345,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10014,pay_100809,Network Timeout,GATEWAY_TIMEOUT,True
fail_10015,pay_102172,User Abandoned,BAD_REQUEST_ABANDONED,True
fail_10016,pay_100690,User Abandoned,BAD_REQUEST_ABANDONED,True
fail_10017,pay_102519,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10018,pay_103620,Network Timeout,GATEWAY_TIMEOUT,True
fail_10019,pay_100160,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10020,pay_101116,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10021,pay_101055,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10022,pay_101558,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10023,pay_104621,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10024,pay_102955,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10025,pay_101421,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10026,pay_103157,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10027,pay_100510,Network Timeout,GATEWAY_TIMEOUT,True
fail_10028,pay_103174,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10029,pay_104295,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10030,pay_103237,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10031,pay_103723,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10032,pay_102767,User Abandoned,BAD_REQUEST_ABANDONED,True
fail_10033,pay_101997,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10034,pay_101625,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10035,pay_103278,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10036,pay_104215,Network Timeout,GATEWAY_TIMEOUT,True
fail_10037,pay_100144,Network Timeout,GATEWAY_TIMEOUT,True
fail_10038,pay_100355,Network Timeout,GATEWAY_TIMEOUT,True
fail_10039,pay_102616,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10040,pay_102259,Network Timeout,GATEWAY_TIMEOUT,True
fail_10041,pay_102045,Network Timeout,GATEWAY_TIMEOUT,True
fail_10042,pay_101619,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10043,pay_104992,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10044,pay_104791,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10045,pay_100346,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10046,pay_102754,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10047,pay_104265,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10048,pay_103725,Network Timeout,GATEWAY_TIMEOUT,True
fail_10049,pay_102375,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10050,pay_101087,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10051,pay_104692,Network Timeout,GATEWAY_TIMEOUT,True
fail_10052,pay_104520,Network Timeout,GATEWAY_TIMEOUT,True
fail_10053,pay_103533,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10054,pay_100264,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10055,pay_103148,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10056,pay_101081,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10057,pay_102802,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10058,pay_104717,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10059,pay_101961,User Abandoned,BAD_REQUEST_ABANDONED,True
fail_10060,pay_102652,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10061,pay_102038,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10062,pay_104600,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10063,pay_101746,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10064,pay_102378,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10065,pay_104101,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10066,pay_103977,Network Timeout,GATEWAY_TIMEOUT,True
fail_10067,pay_104773,Network Timeout,GATEWAY_TIMEOUT,True
fail_10068,pay_104134,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10069,pay_103411,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10070,pay_103370,Network Timeout,GATEWAY_TIMEOUT,True
fail_10071,pay_100771,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10072,pay_104523,User Abandoned,BAD_REQUEST_ABANDONED,True
fail_10073,pay_102034,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10074,pay_104651,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10075,pay_103218,User Abandoned,BAD_REQUEST_ABANDONED,True
fail_10076,pay_104962,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10077,pay_101245,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10078,pay_103745,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10079,pay_104122,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10080,pay_103778,Network Timeout,GATEWAY_TIMEOUT,True
fail_10081,pay_103747,Network Timeout,GATEWAY_TIMEOUT,True
fail_10082,pay_101202,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10083,pay_103592,Network Timeout,GATEWAY_TIMEOUT,True
fail_10084,pay_101569,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10085,pay_101227,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10086,pay_103784,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10087,pay_101456,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10088,pay_103360,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10089,pay_101827,Network Timeout,GATEWAY_TIMEOUT,True
fail_10090,pay_100554,Network Timeout,GATEWAY_TIMEOUT,True
fail_10091,pay_103403,User Abandoned,BAD_REQUEST_ABANDONED,True
fail_10092,pay_101392,Network Timeout,GATEWAY_TIMEOUT,True
fail_10093,pay_101675,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10094,pay_101706,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10095,pay_104088,Network Timeout,GATEWAY_TIMEOUT,True
fail_10096,pay_103269,User Abandoned,BAD_REQUEST_ABANDONED,True
fail_10097,pay_100140,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10098,pay_101829,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10099,pay_102689,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10100,pay_102554,Network Timeout,GATEWAY_TIMEOUT,True
fail_10101,pay_101197,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10102,pay_102973,Network Timeout,GATEWAY_TIMEOUT,True
fail_10103,pay_102229,User Abandoned,BAD_REQUEST_ABANDONED,True
fail_10104,pay_104089,Network Timeout,GATEWAY_TIMEOUT,True
fail_10105,pay_101380,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10106,pay_104252,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10107,pay_100893,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10108,pay_104076,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10109,pay_100913,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10110,pay_103425,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10111,pay_100850,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10112,pay_100593,User Abandoned,BAD_REQUEST_ABANDONED,True
fail_10113,pay_101745,User Abandoned,BAD_REQUEST_ABANDONED,True
fail_10114,pay_103198,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10115,pay_104316,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10116,pay_102626,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10117,pay_102535,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10118,pay_104113,Network Timeout,GATEWAY_TIMEOUT,True
fail_10119,pay_102169,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10120,pay_101249,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10121,pay_101474,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10122,pay_102879,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10123,pay_102269,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10124,pay_101648,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10125,pay_104834,Network Timeout,GATEWAY_TIMEOUT,True
fail_10126,pay_104153,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10127,pay_104920,Network Timeout,GATEWAY_TIMEOUT,True
fail_10128,pay_102131,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10129,pay_103788,Network Timeout,GATEWAY_TIMEOUT,True
fail_10130,pay_102871,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10131,pay_102823,User Abandoned,BAD_REQUEST_ABANDONED,True
fail_10132,pay_103684,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10133,pay_100011,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10134,pay_102387,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10135,pay_101796,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10136,pay_103354,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10137,pay_100324,User Abandoned,BAD_REQUEST_ABANDONED,True
fail_10138,pay_104823,Network Timeout,GATEWAY_TIMEOUT,True
fail_10139,pay_102749,Network Timeout,GATEWAY_TIMEOUT,True
fail_10140,pay_104136,Network Timeout,GATEWAY_TIMEOUT,True
fail_10141,pay_100946,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10142,pay_102962,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10143,pay_100440,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10144,pay_103515,Network Timeout,GATEWAY_TIMEOUT,True
fail_10145,pay_104581,Network Timeout,GATEWAY_TIMEOUT,True
fail_10146,pay_102839,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10147,pay_100403,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10148,pay_103510,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10149,pay_100958,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10150,pay_104324,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10151,pay_104792,User Abandoned,BAD_REQUEST_ABANDONED,True
fail_10152,pay_104135,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10153,pay_101954,Network Timeout,GATEWAY_TIMEOUT,True
fail_10154,pay_102541,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10155,pay_103911,User Abandoned,BAD_REQUEST_ABANDONED,True
fail_10156,pay_102610,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10157,pay_100045,Bank Declined,BANK_DECLINED_TRANSACTION,False
fail_10158,pay_101232,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10159,pay_102588,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10160,pay_103907,Gateway Error,GATEWAY_INTERNAL_ERROR,True
fail_10161,pay_103948,Network Timeout,GATEWAY_TIMEOUT,True
fail_10162,pay_104359,Network Timeout,GATEWAY_TIMEOUT,True
fail_10163,pay_101225,Network Timeout,GATEWAY_TIMEOUT,True
fail_10164,pay_103282,OTP Failed,OTP_AUTHENTICATION_FAILED,True
fail_10165,pay_103943,Insufficient Funds,INSUFFICIENT_FUNDS,True
fail_10166,pay_102578,Network Timeout,GATEWAY_TIMEOUT,True
