payment_id,merchant_id,customer_id,created_at,payment_method,gateway,amount_inr,status
pay_104421,m_1004,cust_1000,2026-02-22 16:00:00,Card,ICICI UPI,2823.02,Success
pay_102261,m_1002,cust_1001,2026-02-22 17:00:00,Card,Razorpay,9292.42,Failed
pay_103206,m_1001,cust_1002,2026-02-22 18:00:00,UPI,ICICI UPI,1147.68,Failed
pay_100819,m_1001,cust_1003,2026-02-22 18:00:00,UPI,SBI Card Gateway,2677.31,Success
pay_101335,m_1004,cust_1004,2026-02-22 20:00:00,UPI,Razorpay,6433.44,Success
pay_103121,m_1004,cust_1005,2026-02-22 20:00:00,Card,Razorpay,1520.64,Failed
pay_103648,m_1004,cust_1006,2026-02-22 20:00:00,UPI,Razorpay,459.63,Success
pay_103711,m_1001,cust_1007,2026-02-22 20:00:00,Card,Razorpay,1468.71,Failed
pay_102217,m_1001,cust_1008,2026-02-22 21:00:00,UPI,ICICI UPI,692.47,Success
pay_101168,m_1003,cust_1009,2026-02-22 22:00:00,Card,Razorpay,2573.53,Failed
pay_100400,m_1004,cust_1010,2026-02-22 23:00:00,Wallet,Razorpay,5208.53,Failed
pay_104881,m_1004,cust_1011,2026-02-23 01:00:00,NetBanking,Razorpay,1539.95,Failed
pay_104502,m_1004,cust_1012,2026-02-23 01:00:00,Card,HDFC Gateway,2547.32,Failed
pay_101345,m_1002,cust_1013,2026-02-23 01:00:00,Card,Razorpay,1173.32,Failed
pay_100809,m_1004,cust_1014,2026-02-23 03:00:00,Wallet,Razorpay,2600.65,Failed
pay_102172,m_1002,cust_1015,2026-02-23 05:00:00,UPI,Razorpay,6417.82,Failed
pay_100690,m_1000,cust_1016,2026-02-23 05:00:00,NetBanking,Razorpay,2689.77,Success
pay_102519,m_1000,cust_1017,2026-02-23 05:00:00,UPI,ICICI UPI,8094.87,Failed
pay_103620,m_1003,cust_1018,2026-02-23 07:00:00,Card,Razorpay,4359.02,Success
pay_100160,m_1000,cust_1019,2026-02-23 07:00:00,UPI,Razorpay,4696.94,Success
pay_101116,m_1004,cust_1020,2026-02-23 09:00:00,UPI,Razorpay,4167.03,Failed
pay_101055,m_1003,cust_1021,2026-02-23 10:00:00,Card,Axis Wallet,11565.15,Failed
pay_101558,m_1003,cust_1022,2026-02-23 11:00:00,Card,Razorpay,1485.56,Success
pay_104621,m_1001,cust_1023,2026-02-23 12:00:00,Card,SBI Card Gateway,1219.96,Failed
pay_102955,m_1004,cust_1024,2026-02-23 13:00:00,UPI,Razorpay,1909.19,Failed
pay_101421,m_1002,cust_1025,2026-02-23 13:00:00,UPI,SBI Card Gateway,1931.41,Failed
pay_103157,m_1000,cust_1026,2026-02-23 13:00:00,Card,SBI Card Gateway,4073.05,Failed
pay_100510,m_1000,cust_1027,2026-02-23 14:00:00,Card,Razorpay,2507.58,Success
pay_103174,m_1002,cust_1028,2026-02-23 14:00:00,UPI,Razorpay,3584.14,Failed
pay_104295,m_1002,cust_1029,2026-02-23 15:00:00,NetBanking,Razorpay,3112.08,Failed
pay_103237,m_1003,cust_1030,2026-02-23 16:00:00,Card,SBI Card Gateway,3388.63,Failed
pay_103723,m_1002,cust_1031,2026-02-23 18:00:00,Card,ICICI UPI,598.41,Failed
pay_102767,m_1000,cust_1032,2026-02-23 18:00:00,UPI,HDFC Gateway,369.07,Failed
pay_101997,m_1002,cust_1033,2026-02-23 19:00:00,Card,SBI Card Gateway,1710.68,Failed
pay_101625,m_1000,cust_1034,2026-02-23 20:00:00,UPI,SBI Card Gateway,1839.92,Success
pay_103278,m_1004,cust_1035,2026-02-23 21:00:00,UPI,Razorpay,2186.43,Failed
pay_104215,m_1002,cust_1036,2026-02-23 22:00:00,UPI,Axis Wallet,9099.94,Success
pay_100144,m_1003,cust_1037,2026-02-23 22:00:00,Card,Razorpay,2865.41,Success
pay_100355,m_1004,cust_1038,2026-02-23 23:00:00,Card,Razorpay,7120.41,Failed
