attempt_id,payment_id,strategy,attempt_number,delay_minutes,attempt_status,predicted_recovery_probability,recovered_amount_inr,risk_amount_inr,resolved_at
att_10000,pay_104421,Email reminder,3,15,Recovered,0.501,2823.02,0.0,2026-02-22 17:52:00
att_10001,pay_102261,Email reminder,0,15,Pending,0.253,0.0,9292.42,
att_10002,pay_103206,Alternate payment method,0,15,Pending,0.396,0.0,1147.68,
att_10003,pay_100819,Smart gateway retry,1,15,Recovered,0.786,2677.31,0.0,2026-02-22 20:29:00
att_10004,pay_101335,Smart gateway retry,0,15,Recovered,0.625,6433.44,0.0,2026-02-23 08:54:00
att_10005,pay_103121,UPI payment link,2,15,Failed,0.238,0.0,1520.64,
att_10006,pay_103648,Retry after 10 minutes,0,10,Recovered,0.807,459.63,0.0,2026-02-23 18:07:00
att_10007,pay_103711,UPI payment link,2,15,Failed,0.279,0.0,1468.71,
att_10008,pay_102217,UPI payment link,0,15,Recovered,0.455,692.47,0.0,2026-02-23 17:16:00
att_10009,pay_101168,Smart gateway retry,2,15,Failed,0.715,0.0,2573.53,
att_10010,pay_100400,UPI payment link,1,15,Failed,0.278,0.0,5208.53,
att_10011,pay_104881,Email reminder,0,15,Pending,0.581,0.0,1539.95,
att_10012,pay_104502,Smart gateway retry,2,15,Failed,0.641,0.0,2547.32,
att_10013,pay_101345,Alternate payment method,1,15,Failed,0.271,0.0,1173.32,
att_10014,pay_100809,Retry after 10 minutes,0,10,Pending,0.826,0.0,2600.65,
att_10015,pay_102172,Email reminder,0,15,Pending,0.284,0.0,6417.82,
att_10016,pay_100690,Email reminder,0,15,Recovered,0.565,2689.77,0.0,2026-02-24 02:08:00
att_10017,pay_102519,UPI payment link,2,15,Failed,0.361,0.0,8094.87,
att_10018,pay_103620,Retry after 10 minutes,0,10,Recovered,0.741,4359.02,0.0,2026-02-23 10:23:00
att_10019,pay_100160,UPI payment link,0,15,Recovered,0.286,4696.94,0.0,2026-02-24 03:35:00
att_10020,pay_101116,Alternate payment method,1,15,Failed,0.443,0.0,4167.03,
att_10021,pay_101055,UPI payment link,0,15,Pending,0.393,0.0,11565.15,
att_10022,pay_101558,OTP reminder,1,15,Recovered,0.471,1485.56,0.0,2026-02-24 10:08:00
att_10023,pay_104621,UPI payment link,1,15,Failed,0.373,0.0,1219.96,
att_10024,pay_102955,Alternate payment method,1,15,Failed,0.299,0.0,1909.19,
